Price,Close,High,Low,Open,Volume
Ticker,TITAN.NS,TITAN.NS,TITAN.NS,TITAN.NS,TITAN.NS
Date,,,,,
1996-01-01,5.155569553375244,5.200400763986655,5.155569553375244,5.200400763986655,4000
1996-01-02,5.157811641693115,5.245232040309933,5.110738823370263,5.20040125302481,24000
1996-01-03,5.110739707946777,5.155570930533524,5.065908912902255,5.157812534417084,22000
1996-01-04,5.027801513671875,5.0659079171175225,4.976245917110746,5.0659079171175225,46000
1996-01-05,4.891066551208496,4.976245769342161,4.88658334445575,4.931414556898956,20000
1996-01-08,4.8417534828186035,4.886584276268372,4.8417534828186035,4.891067483876012,24000
1996-01-09,4.839511394500732,4.841752998080131,4.707259776111373,4.707259776111373,46000
1996-01-10,4.886584758758545,4.886584758758545,4.752091937587518,4.839512356857136,10000
1996-01-11,4.931415557861328,4.931415557861328,4.841753542317747,4.841753542317747,14000
1996-01-12,5.065908432006836,5.222816841081033,5.065908432006836,4.931415204555964,54000
1996-01-15,4.8664093017578125,4.88658330443783,4.843994123261903,4.88658330443783,10000
1996-01-16,5.119705677032471,5.155570480957496,4.886584023977621,4.866410018327021,34000
1996-01-17,4.900033950805664,5.063667182331593,4.900033950805664,5.119705995391888,6000
1996-01-18,4.931415557861328,4.931415557861328,4.776748313834767,4.819337931546298,48000
1996-01-19,4.855203151702881,4.8619279637703166,4.752091931922382,4.774507117062663,46000
1996-01-22,4.931415557861328,4.931415557861328,4.796922320774849,4.85520273776373,302000
1996-01-23,4.561559677124023,4.841753755233088,4.527936473259382,4.931415774719542,32000
1996-01-24,4.772265434265137,4.772265434265137,4.575008576637674,4.561559381471958,18000
1996-01-25,4.483105182647705,4.7520916646234586,4.483105182647705,4.772265672148751,34000
1996-01-26,4.483105182647705,4.483105182647705,4.483105182647705,4.483105182647705,0
1996-01-29,4.595181941986084,4.595181941986084,4.527935547998268,4.48310433364496,52000
1996-01-30,4.684844970703125,4.705018978832774,4.597424553836139,4.595182949872596,58000
1996-01-31,4.7767486572265625,4.841753890382651,4.662429418861963,4.707260643627697,44000
1996-02-01,4.886584758758545,4.931415984177056,4.707260712169007,4.707260712169007,30000
1996-02-02,5.155569553375244,5.17798515868095,5.068149162979313,5.155569553375244,44000
1996-02-05,5.117464065551758,5.332653316316415,5.11298085818241,5.1555704731068435,26000
1996-02-06,5.133153915405273,5.245231513678498,5.0210763171320485,5.133153915405273,46000
1996-02-07,4.940380573272705,5.110738140761611,4.8417521703511595,5.133153745181339,48000
1996-02-08,4.971762657165527,5.0883234697014545,4.956071860774563,5.0659078630534475,44000
1996-02-09,5.491803169250488,5.491803169250488,5.155570322153519,5.155570322153519,138000
1996-02-12,5.742857456207275,5.872867478742256,5.469387788861762,5.491803398445488,204000
1996-02-13,5.648712158203125,5.7809637825826865,5.606122543349829,5.650953334341869,150000
1996-02-14,5.978220462799072,6.0006360730382875,5.8280364300012,5.64871240317189,126000
1996-02-15,5.9445977210998535,5.962530125170079,5.718200852499362,5.978220925288746,2582000
1996-02-16,5.897524833679199,5.924423653284172,5.615089151767036,5.9445976611023434,5558000
1996-02-19,5.608364582061768,5.68906018312373,5.606122978206961,5.897524638656385,40000
1996-02-20,5.603881359100342,5.637504561746501,5.563533344908064,5.608364566797754,142000
1996-02-21,5.603881359100342,5.603881359100342,5.603881359100342,5.603881359100342,0
1996-02-22,5.581465244293213,5.648712071057094,5.581465244293213,5.603880853214506,26000
1996-02-23,5.469387531280518,5.563532745064637,5.469387531280518,5.563532745064637,20000
1996-02-26,5.570258140563965,5.603881343114207,5.473871313055645,5.559050121352406,48000
1996-02-27,5.469387531280518,5.469387531280518,5.3797255247104445,5.570257555885707,32000
1996-02-28,5.379726409912109,5.514219655668361,5.379726409912109,5.469388431235529,14000
1996-02-29,5.379726409912109,5.379726409912109,5.312480000805105,5.379726409912109,28000
1996-03-01,5.381966590881348,5.420072993311145,5.267647383591956,5.379724987498168,46000
1996-03-04,5.272130012512207,5.323685602048259,5.269888409374716,5.381966000996784,32000
1996-03-05,5.272130012512207,5.272130012512207,5.272130012512207,5.272130012512207,0
1996-03-06,5.222817897796631,5.290064738898992,5.157813088360847,5.290064738898992,38000
1996-03-07,5.155569553375244,5.200400763986655,5.065907559694532,5.222815941750251,26000
1996-03-08,5.249715805053711,5.263164999913934,4.926932135612993,5.15557058594776,76000
1996-03-11,5.200402736663818,5.200402736663818,5.081600282757528,5.249716745009045,58000
1996-03-12,5.074873924255371,5.155569938365005,5.0659079379888245,5.200401152324166,54000
